Restaurant ID,Restaurant Name,City,Locality,Cuisines,Rating text,Votes
18255654,Hobing Korean Dessert Cafe,Taguig City,"BGC Stopover Pavillion, Bonifacio Global City","Cafe, Korean, Desserts",Excellent,118
6308205,Wildflour Cafe + Bakery,Taguig City,Bonifacio Global City,"Cafe, Bakery, American, Italian",Very Good,392
6315438,NIU by Vikings,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City","Seafood, American, Mediterranean, Japanese",Excellent,535
6310406,The Food Hall by Todd English,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City","American, Asian, Italian, Seafood",Excellent,618
6600681,Chez Michou,BrasÌ_lia,Asa Norte,"Fast Food, French",Average,6
6601005,CafÌ© Daniel Briand,BrasÌ_lia,Asa Norte,Cafe,Good,9
6600292,Casa do Biscoito Mineiro,BrasÌ_lia,Asa Norte,Bakery,Good,11
6600441,Maori,BrasÌ_lia,Asa Norte,Brazilian,Good,11
6600970,Pizza ÌÊ Bessa,BrasÌ_lia,Asa Sul,Pizza,Average,11
6600379,Sushi Loko,BrasÌ_lia,Asa Sul,Japanese,Average,10
6600214,Beirute,BrasÌ_lia,Asa Sul,Arabian,Good,8
6601218,New Koto,BrasÌ_lia,Asa Sul,Japanese,Good,5
6600060,Sandubas CafÌ©,BrasÌ_lia,Asa Sul,"Brazilian, Cafe",Not rated,2
6600083,Villa Tevere,BrasÌ_lia,Asa Sul,Italian,Very Good,12
6601515,Rovereto,BrasÌ_lia,ÌÅguas Claras,Pizza,Average,9
6601361,Buena Carne,BrasÌ_lia,ÌÅguas Claras,"Bar Food, Brazilian",Good,9
6601602,Taco Pep,BrasÌ_lia,ÌÅguas Claras,"Mexican, Grill",Very Good,29
6601589,Coco Bambu,BrasÌ_lia,"BrasÌ_lia Shopping, Asa Norte",International,Very Good,17
6601862,TaypÌÁ,BrasÌ_lia,Lago Sul,"Peruvian, Latin American",Good,5
6601595,Outback Steakhouse,BrasÌ_lia,"ParkShopping, GuarÌÁ I","American, Grill",Very Good,10
6601158,ManzuÌÁ,BrasÌ_lia,"PontÌ£o Lago Sul, Lago Sul",Seafood,Average,6
6600427,Coco Bambu,BrasÌ_lia,Setor De Clubes Esportivos Sul,International,Excellent,30
6600116,Gero,BrasÌ_lia,"Shopping Iguatemi, Lago Norte",Italian,Average,8
6601457,Brazilian American Burgers,BrasÌ_lia,Sudoeste,"American, Burger",Good,9
7303219,Pesqueiro Eco Gourmet,Rio de Janeiro,Barra da Tijuca,"Seafood, Bar Food, Brazilian",Very Good,7
7304307,Confeitaria Colombo,Rio de Janeiro,Centro,"Desserts, Cafe",Excellent,29
7301215,Bibi,Rio de Janeiro,Copacabana,"Juices, Healthy Food",Excellent,24
7300596,Cervantes,Rio de Janeiro,Copacabana,"Beverages, Bar Food, Fast Food",Excellent,29
7300612,Amir,Rio de Janeiro,Copacabana,Lebanese,Very Good,11
7300704,TT Burger,Rio de Janeiro,"Galeria River, Copacabana",Burger,Excellent,19
7300955,Braseiro da GÌÁvea,Rio de Janeiro,GÌÁvea,"Brazilian, Bar Food",Excellent,40
7300521,Balada Mix,Rio de Janeiro,Ipanema,"Brazilian, Healthy Food, Juices, Pizza",Excellent,21
7300515,Garota de Ipanema,Rio de Janeiro,Ipanema,"Brazilian, Bar Food",Excellent,49
7300483,ZazÌÁ BistrÌ« Tropical,Rio de Janeiro,Ipanema,Brazilian,Excellent,21
7301064,FilÌ© de Ouro,Rio de Janeiro,Lagoa,Brazilian,Very Good,14
7304312,D.O.C Ristorante,Rio de Janeiro,"Le Monde, Barra da Tijuca",Italian,Very Good,5
7300004,Sushi Leblon,Rio de Janeiro,Leblon,Japanese,Excellent,25
7300868,Talho Capixaba,Rio de Janeiro,Leblon,"Bakery, Sandwich, Brazilian",Very Good,13
7302637,Leme Light,Rio de Janeiro,Leme,Brazilian,Very Good,7
7302140,Shirley,Rio de Janeiro,Leme,"Brazilian, Seafood",Very Good,8
7305048,Quiosque Chopp Brahma,Rio de Janeiro,Madureira,"Bar Food, Brazilian",Not rated,1
7302898,AprazÌ_vel,Rio de Janeiro,Santa Teresa,Brazilian,Excellent,44
7302859,Aconchego Carioca,Rio de Janeiro,Tijuca,"Brazilian, Bar Food",Excellent,24
7301700,Garota de Ipanema,Rio de Janeiro,Urca,"Brazilian, Bar Food",Very Good,10
6706313,Cantina Famiglia Mancini,SÌ£o Paulo,"Bela Vista, Centro","Italian, Pizza",Excellent,49
6704326,Templo da Carne - Marcos Bassi,SÌ£o Paulo,"Bela Vista, Centro","Steak, BBQ",Very Good,17
6711179,Gopala Hari,SÌ£o Paulo,ConsolaÌ_Ì£o,Indian,Average,5
6702797,Jiquitaia,SÌ£o Paulo,ConsolaÌ_Ì£o,Brazilian,Very Good,15
6700475,Skye - Hotel Unique,SÌ£o Paulo,"Hotel Unique, Jardim Paulista","Beverages, International",Excellent,59
6713413,Les 3 Brasseurs,SÌ£o Paulo,Itaim Bibi,"French, Brazilian, Beverages",Excellent,30
6714340,Red Steak & Burger,SÌ£o Paulo,Itaim Bibi,"Brazilian, Grill",Good,5
6710645,Cantinho da Gula,SÌ£o Paulo,Itaim Bibi,Brazilian,Not rated,0
6700402,Paris 6 Classique,SÌ£o Paulo,Jardim Paulista,French,Average,73
6700846,Kawa Sushi,SÌ£o Paulo,Jardim Paulista,"Sushi, Japanese",Good,9
6702159,A Figueira Rubaiyat,SÌ£o Paulo,Jardim Paulista,"BBQ, Grill, Brazilian",Very Good,39
6711666,Kinoshita,SÌ£o Paulo,Moema,Sushi,Good,12
6701257,Meats,SÌ£o Paulo,Pinheiros,"Gourmet Fast Food, Burger",Very Good,68
6706211,Paribar,SÌ£o Paulo,RepÌ_blica,"Brazilian, Italian",Very Good,46
6705858,TerraÌ_o ItÌÁlia,SÌ£o Paulo,RepÌ_blica,Italian,Very Good,37
6701419,Divino FogÌ£o,SÌ£o Paulo,"Shopping MetrÌ« Santa Cruz, Vila Mariana","Brazilian, Mineira",Not rated,2
6703956,Super Grill,SÌ£o Paulo,"Shopping Morumbi, Santo Amaro",Brazilian,Not rated,2
6709580,Esquina MocotÌ_,SÌ£o Paulo,Vila Maria,"Brazilian, North Eastern",Very Good,22
6703176,Veloso,SÌ£o Paulo,Vila Mariana,"Brazilian, Bar Food, Beverages",Excellent,58
6713772,Sainte Marie Gastronomia,SÌ£o Paulo,Vila SÌ«nia,"Lebanese, Arabian",Very Good,11
17284404,Austin's BBQ and Oyster Bar,Albany,Albany,"BBQ, Burger, Seafood",Average,35
17284203,BJ's Country Buffet,Albany,Albany,"American, BBQ",Average,25
17284105,Cookie Shoppe,Albany,Albany,,Average,34
17284302,El Vaquero Mexican Restaurant,Albany,Albany,Mexican,Average,45
17284397,Elements Coffee Co - Northwest,Albany,Albany,"Coffee and Tea, Sandwich",Average,26
17284211,Pearly's Famous Country Cookng,Albany,Albany,,Average,36
17284094,Chick-fil-A,Albany,Albany,Fast Food,Good,67
17284409,Guang Zhou Chinese Restaurant,Albany,Albany,"Asian, Chinese, Vegetarian",Good,141
17284139,Harvest Moon,Albany,Albany,"Pizza, Bar Food, Sandwich",Good,147
17284403,Henry Campbell's Steakhouse,Albany,Albany,"Steak, Tapas, Bar Food",Good,51
17284145,Hong Kong Cafe,Albany,Albany,"Chinese, Seafood, Vegetarian",Good,88
17284150,House of China Restaurant II,Albany,Albany,Chinese,Good,153
17284158,Jimmie's Hot Dogs,Albany,Albany,,Good,160
17284175,Locos Grill & Pub,Albany,Albany,"American, Burger, Sandwich",Good,57
17284179,Longhorn Steakhouse,Albany,Albany,"American, Steak",Good,58
17284197,Mikata Japanese Steakhouse,Albany,Albany,"Japanese, Steak, Sushi",Good,115
17284241,Shogun Japanese Steak House,Albany,Albany,"Japanese, Steak, Sushi",Good,51
17284390,The Catch Seafood Room & Oyster Bar,Albany,Albany,"Seafood, Tapas, Bar Food",Good,250
17284279,Villa Gargano,Albany,Albany,"Italian, Pizza",Good,117
17284364,3 Squares Diner,Albany,Sylvester,"American, Breakfast, Diner",Average,20
16611114,Whitebull Hotel,Armidale,Armidale,"Bar Food, Steak",Good,25
17293281,Last Resort Grill,Athens,Athens,"American, Southern, Southwestern",Excellent,1821
17293301,Mama's Boy Restaurant,Athens,Athens,Southern,Excellent,849
17293409,Sr. Sol 1,Athens,Athens,Mexican,Excellent,917
17293163,Choo Choo Eastside,Athens,Athens,"Japanese, Korean",Good,439
17293228,The Grill,Athens,Athens,"Breakfast, Burger, Sandwich",Good,289
17293880,Big City Bread Cafe,Athens,Athens,"Breakfast, Sandwich",Very Good,558
17293169,Clocked,Athens,Athens,"American, Burger, Sandwich",Very Good,613
17293186,DePalma's Italian Cafe - Downtown,Athens,Athens,"American, Italian, Pizza",Very Good,353
17293180,DePalma's Italian Cafe - East Side,Athens,Athens,"American, Italian, Pizza",Very Good,387
17293205,Five & Ten,Athens,Athens,American,Very Good,755
17293229,Grit,Athens,Athens,"International, Southern, Vegetarian",Very Good,800
17293897,Ike & Jane,Athens,Athens,Sandwich,Very Good,350
17293273,La Dolce Vita Ristorante,Athens,Athens,Italian,Very Good,464
17293870,Shokitini,Athens,Athens,"Asian, Japanese, Sushi",Very Good,550
17293877,Taqueria Del Sol,Athens,Athens,"Mexican, Spanish",Very Good,543
17293890,The National,Athens,Athens,"International, Southern",Very Good,465
17293915,The Royal Peasant,Athens,Athens,Bar Food,Very Good,546
17293422,Transmetropolitan,Athens,Athens,"Italian, Pizza, Sandwich",Very Good,1098
17293873,Trappeze Pub,Athens,Athens,"Burger, Bar Food",Very Good,579
17294014,Viva! Argentine Cuisine,Athens,Athens,"Desserts, Latin American, Argentine",Very Good,374
17294556,Miyabi Kyoto Japanese Steak House,Augusta,Augusta,"Chinese, Steak",Excellent,717
17294607,Rae's Coastal Cafe,Augusta,Augusta,"American, Caribbean, Seafood",Excellent,548
17294279,The Bee's Knees,Augusta,Augusta,"International, Tapas, Vegetarian",Excellent,631
17294300,Boll Weevil Cafe,Augusta,Augusta,"Desserts, Sandwich, Southern",Good,372
17295215,Farmhaus Burger,Augusta,Augusta,"American, Burger",Good,201
17295028,Manuel's Bread Cafe,Augusta,Augusta,"Breakfast, French",Good,332
17294642,Sconyers Bar B Que,Augusta,Augusta,BBQ,Good,304
17295109,Frog Hollow Tavern,Augusta,Augusta,American,Very Good,368
17294441,Giuseppe's Pizza & Italian Specialities,Augusta,Augusta,"Desserts, Italian, Pizza",Very Good,430
17294552,Mellow Mushroom,Augusta,Augusta,"Italian, Pizza, Sandwich",Very Good,433
17294565,Nacho Mamas Burritos,Augusta,Augusta,Mexican,Very Good,380
17294623,Rhinehart's Oyster Bar,Augusta,Augusta,"Bar Food, Sandwich, Seafood",Very Good,456
17294712,Takosushi,Augusta,Augusta,"Mexican, Southwestern, Sushi",Very Good,647
17295033,The Chop House,Augusta,Augusta,Steak,Very Good,360
17295069,The Taj of India,Augusta,Augusta,Indian,Very Good,227
17294261,Augsburg Haus,Augusta,Evans,German,Good,290
17295115,Pho Bac,Augusta,Evans,Vietnamese,Very Good,270
17294836,Rhinehart's Oyster Bar,Augusta,Evans,"Burger, Seafood",Very Good,326
17294850,Thai Kitchen,Augusta,Evans,Thai,Very Good,317
17294883,El Kiosco Mexican Restaurant,Augusta,Grovetown,Mexican,Very Good,300
16608864,Taste of Balingup,Balingup,Balingup,Modern Australian,Average,21
16604911,Bridge Road Brewers,Beechworth,Beechworth,"Pizza, Bar Food",Excellent,237
17303465,Bardenay,Boise,Boise,"American, Bar Food",Excellent,879
17303642,Flatbread Neapolitan Pizzeria,Boise,Boise,"Italian, Pizza",Excellent,615
17303670,Goldy's Breakfast Bistro,Boise,Boise,"Breakfast, Sandwich",Excellent,879
17303545,Chandlers Steakhouse,Boise,Boise,"American, Seafood, Steak",Good,379
17303655,Bar Gernika Basque Pub & Eatery,Boise,Boise,"European, Spanish",Very Good,303
17304691,Barbacoa Restaurant,Boise,Boise,"Latin American, Steak",Very Good,538
17303478,Big Jud's,Boise,Boise,"American, Burger, Sandwich",Very Good,334
17303480,Bittercreek Ale House,Boise,Boise,"American, Bar Food",Very Good,555
17304733,Boise Fry Company,Boise,Boise,"American, Burger",Very Good,823
17303646,Flying Pie Pizzaria,Boise,Boise,Pizza,Very Good,550
17304929,Fork,Boise,Boise,"American, Burger",Very Good,650
17303684,Guido's Original New York Style Pizza,Boise,Boise,Pizza,Very Good,410
17303772,Los Beto's,Boise,Boise,Mexican,Very Good,660
17305123,Lucianos Italian Restaurant,Boise,Boise,"Italian, Seafood, Vegetarian",Very Good,360
17303787,Mai Thai Restaurant,Boise,Boise,"Sushi, Thai",Very Good,340
17303990,Shige Japanese Cuisine,Boise,Boise,"Japanese, Sushi, Teriyaki",Very Good,393
17304741,The Egg Factory,Boise,Boise,Breakfast,Very Good,422
17304726,Tucanos,Boise,Boise,Brazilian,Very Good,435
17304486,Texas Roadhouse,Boise,Meridian,"American, BBQ, Steak",Very Good,369
17304533,Brick 29,Boise,Nampa,American,Very Good,487
17316233,Winifreds,Cedar Rapids/Iowa City,Cedar Rapids,"American, Mediterranean, Seafood",Good,98
17315883,Biaggi's Ristorante Italiano,Cedar Rapids/Iowa City,Cedar Rapids,"Italian, Pizza",Very Good,365
17315995,El Super Burrito,Cedar Rapids/Iowa City,Cedar Rapids,Mexican,Very Good,190
17316018,Granite City Food & Brewery,Cedar Rapids/Iowa City,Cedar Rapids,"American, Breakfast, Burger",Very Good,429
17316038,Irish Democrat,Cedar Rapids/Iowa City,Cedar Rapids,"American, BBQ, Burger",Very Good,430
17316771,Taste of India,Cedar Rapids/Iowa City,Cedar Rapids,Indian,Very Good,186
17316201,Thai Moon Restaurant,Cedar Rapids/Iowa City,Cedar Rapids,"Chinese, Sushi, Thai",Very Good,220
17316208,Ting's Red Lantern,Cedar Rapids/Iowa City,Cedar Rapids,Chinese,Very Good,347
17316389,Monica's,Cedar Rapids/Iowa City,Coralville,"American, Italian, Pizza",Good,161
17316278,Exotic India,Cedar Rapids/Iowa City,Coralville,Indian,Very Good,160
17316744,Shorts Burger and Shine,Cedar Rapids/Iowa City,Iowa City,Burger,Excellent,820
17316751,The Hamburg Inn No. 2 Inc.,Cedar Rapids/Iowa City,Iowa City,"American, Breakfast, Burger",Excellent,488
17316766,Bluebird Diner,Cedar Rapids/Iowa City,Iowa City,"Breakfast, Diner",Good,253
17316743,Graze,Cedar Rapids/Iowa City,Iowa City,"American, International, Sushi",Good,220
17316374,A & A Pagliai's Pizza,Cedar Rapids/Iowa City,Iowa City,Pizza,Very Good,485
17316381,Atlas World Grill,Cedar Rapids/Iowa City,Iowa City,International,Very Good,428
17316802,BlackStone,Cedar Rapids/Iowa City,Iowa City,"American, Breakfast",Very Good,294
17316416,Devotay,Cedar Rapids/Iowa City,Iowa City,"Mediterranean, Tapas, Vegetarian",Very Good,380
17316449,Jimmy Jack's Rib Shack,Cedar Rapids/Iowa City,Iowa City,BBQ,Very Good,259
17316603,Zoeys Pizzeria,Cedar Rapids/Iowa City,Marion,"Pizza, Sandwich",Excellent,433
16659169,Tokyo Sushi,Chatham-Kent,Chatham-Kent,"Japanese, Sushi",Good,176
17558684,Berry Patch Restaurant,Clatskanie,Clatskanie,"American, Breakfast, Desserts",Very Good,96
18366580,Sakura Sushi & Grill,Cochrane,Cochrane,"Asian, Japanese",Average,6
17330755,Uptown Vietnam cuisine,Columbus,Columbus,"Asian, Vietnamese",Average,33
17330611,Cafe Le Rue @ The Landings,Columbus,Columbus,"American, Seafood, Cajun",Excellent,489
17330609,Mark's City Grille,Columbus,Columbus,American,Excellent,345
17330024,B Merrell's,Columbus,Columbus,"Burger, Bar Food, Southern",Good,149
17330074,Cannon Brewpub,Columbus,Columbus,"Pizza, Bar Food",Good,330
17330185,Fuji Japanese Steak House,Columbus,Columbus,"Japanese, Steak",Good,247
17330397,Ruth Ann's Family Restaurant,Columbus,Columbus,"Breakfast, Diner, Southern",Good,123
17330735,Samurai Japanese Cuisine & Sushi Bar,Columbus,Columbus,"Japanese, Steak, Sushi",Good,109
17330676,Wasabi Sushi and Thai,Columbus,Columbus,"Japanese, Sushi, Thai",Good,134
17330048,Buckhead Bar and Grill,Columbus,Columbus,"Seafood, Steak, Vegetarian",Very Good,722
17330604,Burt's Butcher Shoppe and Eatery,Columbus,Columbus,Steak,Very Good,213
17330087,Chef Lee's Peking Restaurant,Columbus,Columbus,Chinese,Very Good,335
17330137,Country's Barbecue,Columbus,Columbus,"BBQ, Southern",Very Good,353
17330155,Deorio's,Columbus,Columbus,"Italian, Pizza",Very Good,170
17330309,Mellow Mushroom,Columbus,Columbus,Pizza,Very Good,192
17330311,Meritage,Columbus,Columbus,"American, Tapas",Very Good,302
17330615,Mongo The Mongolian Fire Pit,Columbus,Columbus,"Asian, Chinese",Very Good,355
17330638,The Black Cow,Columbus,Columbus,American,Very Good,287
17330628,Wood Stone,Columbus,Columbus,"Italian, Mediterranean, Pizza",Very Good,264
17330546,Hunter's Pub,Columbus,Hamilton,"American, Seafood, Steak",Very Good,235
16643459,Consort Restaurant,Consort,Consort,"Chinese, Canadian",Average,6
17334434,Thatcher's Barbeque and Grill,Dalton,Calhoun,"American, BBQ, Southern",Good,38
17334348,Christian and Jake's Bistro,Dalton,Calhoun,"Desserts, Sandwich",Very Good,122
17334213,Dub's High on the Hog,Dalton,Calhoun,BBQ,Very Good,207
17334355,Sierra's Mexican Restaurant,Dalton,Chatsworth,"Mexican, Tex-Mex",Good,66
17334212,Oakwood Cafe,Dalton,Dalton,"BBQ, Breakfast, Southern",Excellent,249
17333797,Chili's Grill & Bar,Dalton,Dalton,American,Good,63
17334217,Fuji Japanese Steakhouse,Dalton,Dalton,"Japanese, Sushi",Good,145
17334273,Las Palmas,Dalton,Dalton,Mexican,Good,83
17334254,Tony's Italian Restaurant & Pizza,Dalton,Dalton,Italian,Good,116
17333836,Filling Station,Dalton,Dalton,"American, Burger",Very Good,122
17334197,Five Guys Burgers and Fries,Dalton,Dalton,Fast Food,Very Good,142
17333882,Los Pablos,Dalton,Dalton,Mexican,Very Good,114
17334211,Kobe Hibachi & Sushi,Dalton,Fort Oglethorpe,"American, Japanese, Sushi",Excellent,214
17334390,Soho Hibachi,Dalton,Fort Oglethorpe,Japanese,Very Good,116
17334034,Thai Garden,Dalton,Fort Oglethorpe,Thai,Very Good,111
17334414,Southern Bliss Bakery,Dalton,LaFayette,"Desserts, Sandwich",Good,25
17334082,Bailey's Bar-B-Que,Dalton,Ringgold,BBQ,Very Good,128
17334364,Farm To Fork,Dalton,Ringgold,"American, Diner, Southern",Very Good,244
17334398,Home Plate Grill,Dalton,Ringgold,"American, BBQ, Southern",Very Good,112
17334219,Pie Slingers Pizzeria,Dalton,Rock Spring,"Italian, Pizza",Very Good,144
17335173,Olive Tree Cafe,Davenport,Bettendorf,"Indian, Mediterranean, Middle Eastern",Excellent,166
17335195,"Red Ginger Sushi, Grill & Bar",Davenport,Bettendorf,"Sushi, Teriyaki",Excellent,208
17335225,Crust Stone Oven Pizza,Davenport,Bettendorf,"Burger, Pizza",Good,136
17335219,Jimmy's Pancake House,Davenport,Bettendorf,"American, Breakfast, Greek",Very Good,85
17334965,Trattoria Tiramisu,Davenport,Bettendorf,Italian,Very Good,117
17335189,Prairie Grille at SteepleGate Inn,Davenport,Davenport,"American, Breakfast",Average,53
17335156,Tantra Asian Bistro,Davenport,Davenport,Asian,Excellent,474
17334717,Chick-fil-A,Davenport,Davenport,Fast Food,Good,125
17334752,Duck City Bistro,Davenport,Davenport,"American, French",Good,201
18453427,Frick's Tap,Davenport,Davenport,"American, Bar Food, BBQ",Not rated,2
17793744,Los Agaves,Davenport,Davenport,Mexican,Not rated,3
17334679,Azteca,Davenport,Davenport,Mexican,Very Good,167
17334718,China Cafe,Davenport,Davenport,Chinese,Very Good,112
17334763,Exotic Thai Restaurant,Davenport,Davenport,Thai,Very Good,256
17335158,Front Street Brewery,Davenport,Davenport,American,Very Good,123
17334782,Granite City Food & Brewery,Davenport,Davenport,American,Very Good,199
17334846,Los Agaves,Davenport,Davenport,Mexican,Very Good,157
17334853,Machine Shed Restaurant,Davenport,Davenport,American,Very Good,100
17335168,Osaka,Davenport,Davenport,"Japanese, Sushi",Very Good,141
17334958,Texas Roadhouse,Davenport,Davenport,"American, BBQ, Steak",Very Good,197
17258496,Hickory Park,Des Moines,Ames,"BBQ, Burger, Desserts",Excellent,1025
17259395,The Cafe,Des Moines,Ames,"American, Coffee and Tea",Excellent,570
17258350,Flying Mango,Des Moines,Beaverdale,"BBQ, Caribbean, Cajun",Excellent,674
17258136,Cool Basil,Des Moines,Clive,"Asian, Sushi, Thai",Very Good,496
17258522,HuHot Mongolian Grill,Des Moines,Clive,"Asian, Chinese",Very Good,411
17259958,Malo,Des Moines,Downtown,"Latin American, Mexican",Average,113
17258036,Centro,Des Moines,Downtown,"Italian, Pizza",Excellent,1109
17259368,Fong's Pizza,Des Moines,Downtown,"Chinese, Pizza",Excellent,728
17257684,A Dong Restaurant,Des Moines,Downtown,"Asian, Vegetarian, Vietnamese, Bubble Tea",Very Good,659
17258154,Court Avenue Brewing Company,Des Moines,Downtown,"American, Pizza, Bar Food",Very Good,370
17259340,Django,Des Moines,Downtown,French,Very Good,532
17259243,Miyabi 9,Des Moines,East Village,"Japanese, Sushi",Excellent,860
17259625,Zombie Burger + Drink Lab,Des Moines,East Village,"Burger, Desserts, Vegetarian",Very Good,943
17259169,Tursi's Latin King,Des Moines,Fairground,"American, Italian",Very Good,476
17259166,Tsing Tsao South,Des Moines,Greater South Side,Chinese,Very Good,218
17259335,Bandit Burrito,Des Moines,Johnston,"Breakfast, Mexican, Southwestern",Very Good,214
17259248,Jethro's BBQ,Des Moines,Kingman Place Historic District,"American, BBQ",Very Good,699
17258552,The Machine Shed Restaurant,Des Moines,Urbandale,"American, Breakfast",Good,308
17259550,Mi Patria,Des Moines,West Des Moines,Latin American,Very Good,157
17259200,Waterfront Seafood Market,Des Moines,West Des Moines,"Seafood, Sushi",Very Good,530
16615894,The Giggling Goat,Dicky Beach,Dicky Beach,"Coffee and Tea, Tea, Modern Australian",Good,29
17342816,Burnt Toast Cafe,Dubuque,Dubuque,Breakfast,Average,33
17342498,Catfish Charlie's,Dubuque,Dubuque,Seafood,Average,40
17342648,Salsa's Mexican Restaurant,Dubuque,Dubuque,Mexican,Average,153
17342781,Tony Roma's,Dubuque,Dubuque,"American, BBQ, Seafood",Average,65
17342799,Vinny Vanucchi's,Dubuque,Dubuque,Italian,Average,58
17342772,Champps Americana,Dubuque,Dubuque,"American, Burger, Sandwich",Good,100
17342771,Fiesta Cancun,Dubuque,Dubuque,Mexican,Good,156
17342548,Happy Joe's Pizza & Ice Cream,Dubuque,Dubuque,"Desserts, Pizza, Ice Cream",Good,74
17342556,Houlihan's,Dubuque,Dubuque,"American, Burger",Good,117
17342811,Ichiban Hibachi Steakhouse & Sushi Bar,Dubuque,Dubuque,"Japanese, Steak, Sushi",Good,83
17342576,Kalmes Breaktime Bar & Grill,Dubuque,Dubuque,"American, Burger",Good,48
17342770,L. May Eatery,Dubuque,Dubuque,"International, Pizza",Good,198
17342585,Los Aztecas,Dubuque,Dubuque,Mexican,Good,126
17342494,Manna Java World Cafe,Dubuque,Dubuque,"Breakfast, Pizza",Good,119
17342594,Mario's Italian Restaurant,Dubuque,Dubuque,"American, Italian",Good,140
17342625,Pepper Sprout Incorporated,Dubuque,Dubuque,American,Good,159
17342652,Shot Tower Inn,Dubuque,Dubuque,"Italian, Pizza",Good,131
17342665,Sunshine Family Restaurant,Dubuque,Dubuque,"American, Breakfast, Burger",Good,60
17342810,Watershed Cafe,Dubuque,Dubuque,"American, Burger, Pizza, Cafe",Good,89
17342775,Woodfire Grille,Dubuque,Dubuque,"American, Seafood, Steak",Good,72
16612028,The Belle General,East Ballina,East Ballina,Cafe,Very Good,56
17536645,Jehova es Mi Pastor Tacos y Burritos,Fernley,Fernley,Mexican,Good,83
16613507,Flaxton Gardens,Flaxton,Flaxton,"Tea, Modern Australian",Good,37
16607969,Bespoke Harvest,Forrest,Forrest,"Cafe, Australian",Good,29
17374405,Houndstooth Grill & Tavern,Gainesville,Braselton,"American, Sandwich, Seafood",Very Good,239
17375060,Hawg Wild BBQ & Catfish House,Gainesville,Clarkesville,"BBQ, Burger, Seafood",Very Good,235
17375164,Bourbon Street Grille,Gainesville,Dahlonega,"American, Burger, Cajun",Good,88
17374552,Corkscrew Cafe,Gainesville,Dahlonega,,Good,209
17375078,Smokin Gold BBQ,Gainesville,Dahlonega,BBQ,Good,133
17375049,Hoka-Hoka Japanese Steak & Sushi,Gainesville,Dahlonega,"Chinese, Japanese, Thai",Very Good,267
17375077,Shenanigan's Irish Pub,Gainesville,Dahlonega,"Bar Food, Seafood, Vegetarian",Very Good,171
17375141,Fish Tales Lakeside Grille,Gainesville,Flowery Branch,Seafood,Good,107
17375198,Antebellum,Gainesville,Flowery Branch,"American, Southern",Very Good,164
17375180,Moonie's Texas Barbecue,Gainesville,Flowery Branch,"BBQ, Sandwich",Very Good,182
17375072,Atlanta Highway Seafood Market,Gainesville,Gainesville,"Sandwich, Seafood, Cajun",Excellent,681
17375047,Eat at Thai,Gainesville,Gainesville,Thai,Excellent,357
17375074,Smoke House BBQ and Catering,Gainesville,Gainesville,BBQ,Good,89
17374921,2 Dog,Gainesville,Gainesville,"American, European, Sandwich",Very Good,350
17374819,Longstreet Cafe,Gainesville,Gainesville,Southern,Very Good,298
17375089,Re-Cess,Gainesville,Gainesville,"American, Southern",Very Good,319
17375214,Bodensee,Gainesville,Helen,German,Good,114
